0	6	0.093
0	14	0.786
0	24	0.116
1	0	0.025
1	1	0.368
1	2	0.081
1	12	0.055
1	20	0.022
1	24	0.250
1	25	0.197
2	0	0.020
2	13	0.076
2	17	0.159
2	18	0.162
2	23	0.147
2	24	0.083
2	27	0.350
3	3	0.418
3	6	0.152
3	15	0.016
3	25	0.407
4	0	0.015
4	2	0.272
4	12	0.192
4	19	0.067
4	20	0.039
4	22	0.039
4	24	0.023
4	27	0.354
5	2	0.112
5	8	0.494
5	10	0.121
5	13	0.024
5	19	0.038
5	27	0.071
5	28	0.139
6	4	0.211
6	6	0.448
6	11	0.008
6	13	0.045
6	24	0.281
7	1	0.256
7	22	0.191
7	25	0.203
7	27	0.345
8	4	0.012
8	21	0.429
8	24	0.556
9	0	0.170
9	5	0.056
9	6	0.560
9	12	0.055
9	13	0.009
9	23	0.029
9	25	0.120
10	0	0.178
10	5	0.065
10	12	0.078
10	14	0.673
11	9	0.163
11	11	0.037
11	20	0.021
11	21	0.627
11	24	0.094
11	28	0.057
12	11	0.270
12	14	0.728
13	4	0.699
13	6	0.183
13	11	0.114
14	4	0.433
14	6	0.245
14	11	0.132
14	21	0.013
14	24	0.121
14	26	0.053
15	2	0.081
15	3	0.060
15	15	0.009
15	24	0.073
15	25	0.775
16	2	0.269
16	5	0.113
16	11	0.316
16	14	0.074
16	23	0.041
16	24	0.182
17	2	0.085
17	14	0.833
17	24	0.059
17	28	0.020
18	14	0.664
18	19	0.070
18	24	0.086
18	25	0.176
19	5	0.346
19	6	0.100
19	13	0.063
19	14	0.194
19	23	0.050
19	28	0.244
20	2	0.008
20	4	0.501
20	6	0.014
20	12	0.047
20	19	0.179
20	20	0.080
20	25	0.169
21	1	0.028
21	4	0.061
21	12	0.088
21	18	0.067
21	21	0.500
21	24	0.253
22	4	0.519
22	6	0.208
22	11	0.249
22	24	0.020
23	6	0.030
23	9	0.201
23	21	0.472
23	24	0.097
23	28	0.196
24	0	0.008
24	1	0.009
24	2	0.023
24	3	0.007
24	4	0.009
24	5	0.008
24	6	0.680
24	7	0.009
24	8	0.009
24	9	0.014
24	10	0.010
24	11	0.011
24	12	0.011
24	13	0.008
24	14	0.009
24	15	0.006
24	16	0.007
24	17	0.007
24	18	0.010
24	19	0.015
24	20	0.009
24	21	0.018
24	22	0.018
24	23	0.008
24	24	0.020
24	25	0.015
24	26	0.008
24	27	0.013
24	28	0.014
24	29	0.007
25	2	0.106
25	4	0.156
25	11	0.036
25	12	0.130
25	19	0.302
25	20	0.041
25	25	0.226
26	0	0.056
26	5	0.575
26	6	0.176
26	13	0.064
26	25	0.127
27	7	0.010
27	12	0.046
27	14	0.939
28	4	0.127
28	11	0.453
28	13	0.075
28	21	0.089
28	24	0.197
28	26	0.054
29	6	0.049
29	11	0.370
29	18	0.008
29	24	0.340
29	26	0.170
29	29	0.059
30	0	0.083
30	1	0.174
30	9	0.085
30	12	0.028
30	17	0.048
30	20	0.020
30	22	0.559
31	7	0.785
31	26	0.195
32	2	0.447
32	5	0.083
32	15	0.048
32	22	0.420
33	2	0.100
33	9	0.090
33	14	0.208
33	15	0.249
33	22	0.343
34	8	0.150
34	11	0.227
34	18	0.113
34	24	0.500
35	0	0.044
35	2	0.347
35	5	0.088
35	6	0.219
35	11	0.102
35	14	0.025
35	24	0.123
35	25	0.051
36	2	0.331
36	20	0.054
36	21	0.087
36	24	0.527
37	2	0.139
37	6	0.048
37	19	0.096
37	20	0.014
37	21	0.329
37	22	0.121
37	24	0.251
38	6	0.009
38	8	0.013
38	9	0.277
38	15	0.164
38	21	0.119
38	22	0.098
38	28	0.318
39	2	0.281
39	6	0.055
39	10	0.013
39	19	0.375
39	24	0.274
40	4	0.037
40	5	0.266
40	6	0.025
40	10	0.264
40	17	0.015
40	21	0.080
40	25	0.280
40	26	0.010
40	27	0.022
41	3	0.995
42	1	0.394
42	2	0.203
42	5	0.010
42	13	0.014
42	22	0.009
42	25	0.363
43	11	0.160
43	12	0.043
43	14	0.199
43	18	0.107
43	27	0.175
43	28	0.314
44	6	0.956
44	12	0.041
45	2	0.111
45	4	0.042
45	19	0.024
45	23	0.530
45	24	0.269
45	25	0.022
46	6	0.556
46	27	0.442
47	1	0.017
47	11	0.129
47	14	0.023
47	18	0.742
47	28	0.086
48	2	0.082
48	5	0.006
48	7	0.091
48	27	0.817
49	2	0.082
49	5	0.006
49	7	0.091
49	27	0.817
50	11	0.326
50	12	0.042
50	18	0.565
50	28	0.048
51	0	0.105
51	4	0.263
51	13	0.224
51	22	0.292
51	23	0.054
51	26	0.057
52	4	0.085
52	6	0.865
52	11	0.018
52	23	0.031
53	1	0.013
53	2	0.431
53	3	0.096
53	10	0.026
53	17	0.018
53	22	0.045
53	25	0.371
54	5	0.040
54	6	0.381
54	12	0.024
54	27	0.553
55	12	0.006
55	13	0.025
55	19	0.322
55	24	0.388
55	27	0.162
55	28	0.094
56	9	0.697
56	17	0.069
56	22	0.140
56	25	0.071
56	29	0.016
57	11	0.306
57	12	0.093
57	16	0.055
57	18	0.245
57	20	0.047
57	27	0.247
58	5	0.113
58	6	0.358
58	11	0.040
58	13	0.171
58	14	0.304
58	24	0.012
59	5	0.008
59	6	0.237
59	11	0.616
59	13	0.027
59	24	0.109
60	2	0.314
60	5	0.421
60	20	0.147
60	24	0.116
61	0	0.096
61	2	0.257
61	3	0.063
61	11	0.306
61	14	0.030
61	24	0.246
62	2	0.264
62	14	0.542
62	25	0.193
63	14	0.599
63	24	0.032
63	25	0.367
64	0	0.106
64	2	0.352
64	14	0.059
64	22	0.068
64	24	0.412
65	2	0.608
65	3	0.021
65	4	0.282
65	12	0.020
65	13	0.019
65	28	0.049
66	2	0.060
66	4	0.141
66	5	0.011
66	6	0.075
66	12	0.021
66	14	0.009
66	17	0.214
66	21	0.016
66	23	0.094
66	25	0.357
67	1	0.144
67	17	0.678
67	25	0.145
67	29	0.030
68	6	0.157
68	11	0.232
68	13	0.074
68	14	0.439
68	23	0.055
68	27	0.039
69	0	0.078
69	1	0.095
69	2	0.268
69	3	0.064
69	5	0.027
69	12	0.043
69	14	0.107
69	22	0.100
69	24	0.059
69	25	0.157
70	2	0.237
70	8	0.215
70	19	0.545
71	5	0.250
71	21	0.066
71	28	0.678
72	10	0.037
72	13	0.025
72	22	0.153
72	23	0.350
72	24	0.157
72	29	0.273
73	14	0.817
73	19	0.097
73	25	0.082
74	6	0.634
74	11	0.010
74	13	0.133
74	14	0.104
74	21	0.110
75	2	0.284
75	6	0.081
75	11	0.088
75	16	0.165
75	18	0.335
75	21	0.046
76	2	0.064
76	3	0.243
76	13	0.051
76	16	0.035
76	21	0.194
76	26	0.007
76	28	0.404
77	7	0.595
77	16	0.029
77	17	0.033
77	26	0.173
77	28	0.166
78	0	0.131
78	12	0.063
78	28	0.798
79	7	0.227
79	26	0.464
79	29	0.305
80	0	0.044
80	2	0.109
80	5	0.029
80	16	0.304
80	28	0.029
80	29	0.482
81	7	0.748
81	21	0.076
81	22	0.074
81	27	0.097
82	19	0.691
82	24	0.301
83	7	0.219
83	26	0.464
83	29	0.314
84	0	0.286
84	1	0.150
84	2	0.245
84	4	0.035
84	21	0.053
84	25	0.229
85	1	0.157
85	2	0.081
85	5	0.052
85	19	0.015
85	24	0.341
85	25	0.350
86	0	0.015
86	4	0.531
86	6	0.109
86	13	0.112
86	19	0.008
86	27	0.222
87	0	0.019
87	8	0.149
87	9	0.117
87	10	0.147
87	23	0.049
87	28	0.442
87	29	0.074
88	1	0.326
88	2	0.198
88	9	0.212
88	21	0.262
89	2	0.239
89	7	0.238
89	11	0.323
89	18	0.197
90	2	0.149
90	9	0.097
90	11	0.416
90	19	0.013
90	24	0.297
90	26	0.025
91	2	0.379
91	9	0.157
91	18	0.050
91	22	0.409
92	2	0.192
92	7	0.486
92	10	0.100
92	11	0.064
92	16	0.037
92	26	0.119
93	9	0.007
93	10	0.031
93	18	0.068
93	21	0.892
94	2	0.078
94	4	0.124
94	9	0.009
94	17	0.007
94	25	0.775
95	2	0.191
95	9	0.059
95	21	0.309
95	22	0.070
95	24	0.366
96	2	0.262
96	5	0.034
96	13	0.024
96	19	0.252
96	24	0.391
96	25	0.032
97	11	0.037
97	17	0.089
97	18	0.017
97	21	0.147
97	24	0.357
97	25	0.119
97	26	0.228
98	2	0.093
98	17	0.272
98	19	0.114
98	20	0.038
98	24	0.478
99	6	0.113
99	7	0.050
99	12	0.207
99	13	0.521
99	29	0.105
100	1	0.005
100	9	0.122
100	10	0.171
100	12	0.091
100	22	0.113
100	24	0.146
100	27	0.183
100	28	0.167
101	7	0.423
101	26	0.099
101	28	0.474
102	2	0.110
102	20	0.142
102	21	0.675
102	25	0.070
103	2	0.165
103	9	0.071
103	10	0.067
103	25	0.187
103	27	0.508
104	2	0.312
104	8	0.262
104	22	0.425
105	17	0.996
106	9	0.148
106	18	0.244
106	22	0.599
107	2	0.169
107	9	0.037
107	17	0.075
107	22	0.233
107	25	0.010
107	27	0.473
108	6	0.214
108	7	0.097
108	16	0.042
108	26	0.640
109	0	0.024
109	2	0.088
109	7	0.334
109	11	0.230
109	16	0.261
109	20	0.016
109	24	0.044
110	2	0.092
110	8	0.010
110	19	0.585
110	22	0.286
110	23	0.024
111	18	0.560
111	24	0.421
112	2	0.255
112	18	0.455
112	21	0.086
112	24	0.202
113	0	0.049
113	2	0.567
113	3	0.077
113	6	0.020
113	13	0.252
113	23	0.013
113	27	0.021
114	0	0.061
114	2	0.073
114	11	0.085
114	12	0.196
114	14	0.043
114	18	0.432
114	19	0.050
114	27	0.058
115	2	0.149
115	9	0.064
115	11	0.340
115	20	0.022
115	24	0.329
115	26	0.074
115	28	0.016
116	4	0.044
116	6	0.792
116	18	0.052
116	19	0.110
117	2	0.198
117	4	0.049
117	6	0.066
117	8	0.137
117	9	0.119
117	21	0.076
117	22	0.329
117	28	0.023
118	0	0.013
118	1	0.014
118	2	0.325
118	9	0.148
118	21	0.027
118	22	0.007
118	24	0.451
118	26	0.013
119	8	0.089
119	11	0.088
119	19	0.505
119	24	0.197
119	25	0.119
120	2	0.170
120	9	0.008
120	22	0.029
120	25	0.750
120	28	0.040
121	2	0.068
121	6	0.720
121	19	0.074
121	20	0.122
121	24	0.015
122	7	0.246
122	10	0.029
122	13	0.045
122	18	0.257
122	20	0.062
122	22	0.358
123	2	0.161
123	15	0.166
123	18	0.384
123	19	0.210
123	25	0.076
124	2	0.121
124	5	0.031
124	19	0.476
124	27	0.369
125	2	0.247
125	3	0.010
125	6	0.072
125	8	0.050
125	9	0.144
125	10	0.138
125	12	0.013
125	20	0.299
125	24	0.015
126	5	0.741
126	9	0.034
126	17	0.110
126	22	0.031
126	28	0.078
127	1	0.105
127	12	0.027
127	14	0.780
127	25	0.086
128	2	0.047
128	20	0.053
128	21	0.050
128	22	0.779
128	24	0.066
129	11	0.723
129	14	0.065
129	19	0.206
130	2	0.931
130	8	0.021
130	18	0.045
131	4	0.723
131	11	0.275
132	12	0.519
132	27	0.479
133	0	0.256
133	3	0.033
133	6	0.174
133	12	0.055
133	14	0.123
133	16	0.029
133	18	0.104
133	23	0.015
133	26	0.119
133	27	0.090
134	0	0.228
134	4	0.121
134	6	0.151
134	7	0.066
134	12	0.137
134	14	0.057
134	23	0.127
134	26	0.110
135	2	0.262
135	22	0.159
135	23	0.164
135	24	0.184
135	27	0.230
136	1	0.227
136	2	0.012
136	11	0.076
136	15	0.029
136	19	0.085
136	20	0.045
136	24	0.057
136	27	0.386
136	28	0.081
137	18	0.155
137	19	0.196
137	23	0.056
137	24	0.589
138	0	0.225
138	2	0.142
138	18	0.137
138	20	0.009
138	24	0.047
138	25	0.334
138	27	0.103
139	0	0.049
139	5	0.258
139	12	0.030
139	26	0.270
139	27	0.390
140	6	0.733
140	11	0.115
140	13	0.083
140	16	0.010
140	18	0.046
140	28	0.010
141	0	0.043
141	2	0.523
141	5	0.209
141	6	0.078
141	23	0.103
141	29	0.042
142	10	0.365
142	11	0.128
142	22	0.067
142	23	0.435
143	4	0.057
143	6	0.113
143	10	0.138
143	13	0.061
143	14	0.152
143	23	0.300
143	29	0.176
144	1	0.330
144	15	0.219
144	24	0.086
144	27	0.362
145	19	0.296
145	20	0.144
145	23	0.061
145	24	0.423
145	29	0.069
146	18	0.436
146	20	0.056
146	21	0.425
146	22	0.079
147	2	0.193
147	6	0.165
147	15	0.024
147	19	0.409
147	24	0.204
148	0	0.174
148	2	0.318
148	4	0.058
148	7	0.062
148	18	0.121
148	24	0.142
148	27	0.122
149	1	0.048
149	7	0.348
149	9	0.054
149	16	0.033
